age,job,marital,education,default,balance,housing,loan,y
46,admin.,married,secondary,no,179,yes,no,no
37,technician,single,unknown,no,391,yes,no,no
41,entrepreneur,married,unknown,no,89,yes,no,no
36,management,single,tertiary,no,442,yes,yes,no
45,unemployed,divorced,primary,yes,249,yes,yes,no
55,entrepreneur,married,secondary,no,8104,no,no,no
39,technician,married,secondary,no,501,no,no,no
35,technician,divorced,secondary,no,308,no,no,no
55,admin.,married,secondary,no,602,no,no,yes
55,technician,married,secondary,no,273,yes,no,no
27,selfemployed,single,secondary,no,50,no,no,no
34,technician,married,secondary,no,1641,yes,no,no
34,bluecollar,married,tertiary,no,20,no,no,no
25,admin.,single,secondary,no,4590,yes,no,no
41,admin.,single,secondary,no,256,no,yes,no
43,services,married,secondary,no,978,yes,yes,no
28,management,single,tertiary,no,80,no,no,yes
31,admin.,single,secondary,no,2104,yes,no,no
78,housemaid,married,secondary,no,499,no,no,no
45,bluecollar,divorced,secondary,no,1269,yes,no,no
48,technician,married,tertiary,no,310,no,no,no
32,bluecollar,single,secondary,no,1143,yes,yes,no
42,technician,married,secondary,no,2980,no,no,no
37,management,single,tertiary,no,37,no,no,no
40,admin.,single,secondary,no,462,yes,yes,no
32,admin.,married,secondary,no,1031,yes,no,no
42,management,married,tertiary,no,9009,no,no,no
43,admin.,married,secondary,no,465,yes,yes,no
44,admin.,married,secondary,no,5181,yes,yes,no
37,admin.,married,secondary,no,176,yes,no,no
37,unknown,married,unknown,no,1699,no,no,no
37,admin.,married,tertiary,no,0,yes,no,no
28,technician,single,tertiary,no,172,yes,yes,no
32,services,single,secondary,no,0,no,yes,no
34,admin.,single,secondary,no,6979,yes,no,no
40,admin.,divorced,secondary,no,6,no,no,no
34,services,married,secondary,no,62,yes,no,no
34,selfemployed,married,tertiary,no,1972,yes,no,no
34,admin.,married,tertiary,no,899,yes,no,no
37,services,single,secondary,no,21,yes,no,no
36,technician,married,secondary,no,23,yes,no,no
56,retired,married,secondary,no,1206,yes,no,yes
49,bluecollar,married,primary,no,0,yes,yes,no
33,selfemployed,married,secondary,no,215,yes,no,no
30,management,single,tertiary,no,1372,no,no,no
36,services,married,secondary,no,1981,no,no,no
23,student,single,secondary,no,9216,no,no,no
57,retired,divorced,secondary,no,39,yes,no,no
27,bluecollar,single,secondary,no,5563,yes,no,no
38,services,married,secondary,no,1,no,yes,no
42,technician,married,tertiary,no,782,no,no,no
75,retired,married,secondary,no,3771,no,no,yes
34,technician,single,tertiary,no,992,yes,no,no
48,technician,married,secondary,no,1526,no,no,no
35,technician,single,tertiary,no,2658,yes,no,yes
39,management,divorced,tertiary,no,1315,yes,no,no
29,bluecollar,single,tertiary,no,455,no,no,yes
45,technician,single,tertiary,no,0,yes,no,no
42,technician,married,secondary,no,2030,yes,yes,no
29,technician,married,secondary,no,1599,yes,no,no
38,services,single,secondary,no,196,yes,no,no
56,retired,married,secondary,no,1333,no,no,no
36,technician,single,secondary,no,9149,yes,no,no
25,bluecollar,single,secondary,no,350,yes,no,no
38,technician,married,tertiary,no,432,yes,no,no
57,selfemployed,married,secondary,no,11494,no,no,no
31,management,married,tertiary,yes,253,no,no,no
42,management,married,tertiary,no,372,yes,no,yes
45,technician,married,secondary,no,1410,no,no,no
30,bluecollar,married,secondary,no,975,yes,no,no
49,bluecollar,married,primary,no,305,yes,yes,no
49,services,married,secondary,no,400,no,no,no
53,retired,married,tertiary,no,22,yes,no,no
37,technician,married,secondary,no,4030,yes,no,no
49,bluecollar,married,primary,no,365,no,no,no
41,selfemployed,married,primary,no,204,no,no,no
54,management,married,primary,no,1691,yes,no,no
32,services,single,secondary,no,406,yes,no,no
33,technician,married,secondary,no,204,no,no,no
33,technician,married,secondary,no,359,yes,no,no
36,bluecollar,married,primary,no,123,yes,no,no
35,technician,married,tertiary,no,0,yes,yes,no
52,unknown,married,secondary,no,142,no,no,no
40,entrepreneur,married,tertiary,no,3571,no,no,no
44,technician,single,secondary,no,33,yes,no,no
45,bluecollar,single,secondary,no,0,yes,no,no
30,student,single,secondary,no,3096,no,no,no
48,technician,divorced,secondary,yes,20,no,no,no
33,bluecollar,married,secondary,no,3576,yes,no,no
57,technician,married,unknown,no,206,yes,no,no
57,housemaid,married,primary,no,7082,no,no,no
51,unemployed,married,tertiary,no,1634,yes,no,no
34,admin.,single,secondary,no,1,yes,no,no
50,selfemployed,married,tertiary,no,4012,no,no,no
44,management,married,tertiary,no,3762,no,no,no
27,admin.,married,secondary,no,247,yes,yes,no
50,bluecollar,married,secondary,no,606,yes,no,no
36,management,married,tertiary,no,0,yes,no,no
42,management,married,secondary,no,189,yes,no,no
32,unemployed,single,secondary,no,0,no,no,no
42,management,married,tertiary,no,484,yes,no,no
43,technician,married,secondary,no,0,no,yes,no
31,management,married,tertiary,no,395,yes,no,no
32,management,married,tertiary,no,2349,no,no,no
55,bluecollar,divorced,primary,no,410,no,yes,no
58,retired,married,primary,no,3401,yes,no,no
46,bluecollar,married,primary,no,222,no,no,no
55,bluecollar,married,secondary,no,989,yes,yes,no
34,management,married,tertiary,no,415,no,yes,no
28,unemployed,single,secondary,no,16,no,no,no
42,technician,divorced,tertiary,no,7190,yes,no,no
29,bluecollar,single,secondary,no,482,no,yes,yes
54,housemaid,married,secondary,no,209,yes,yes,no
32,technician,single,secondary,no,0,no,no,no
39,technician,single,tertiary,no,5803,no,no,no
53,entrepreneur,married,tertiary,no,624,no,yes,no
58,technician,married,tertiary,no,883,no,no,no
40,selfemployed,married,secondary,no,1516,yes,yes,no
29,student,single,secondary,no,872,yes,no,no
33,technician,married,tertiary,no,988,yes,yes,no
38,admin.,single,secondary,no,902,yes,no,no
56,services,divorced,secondary,no,1007,no,no,no
40,services,married,secondary,no,0,yes,no,no
24,bluecollar,single,secondary,no,174,yes,yes,yes
46,management,married,secondary,no,12186,no,no,no
35,selfemployed,married,secondary,no,524,yes,no,no
35,bluecollar,single,tertiary,no,0,yes,no,no
34,technician,married,secondary,no,4,yes,no,no
35,housemaid,married,tertiary,no,11219,no,no,no
38,technician,single,tertiary,no,0,no,no,no
50,bluecollar,married,primary,no,5776,no,no,no
51,bluecollar,divorced,primary,no,37,yes,no,no
59,selfemployed,married,tertiary,no,593,no,no,no
32,bluecollar,married,secondary,no,1148,yes,no,no
37,bluecollar,single,secondary,no,3561,yes,no,no
42,admin.,divorced,secondary,no,63,no,no,no
40,student,married,secondary,no,260,no,no,no
28,technician,single,tertiary,no,2269,yes,no,no
47,admin.,married,secondary,no,1060,yes,no,no
27,selfemployed,married,secondary,no,220,yes,no,no
41,management,married,tertiary,no,49,yes,no,no
34,admin.,married,tertiary,no,69,no,yes,yes
50,bluecollar,married,primary,no,4108,yes,no,yes
47,bluecollar,married,secondary,no,480,yes,no,no
53,services,married,secondary,no,4994,no,no,no
53,technician,divorced,secondary,no,0,yes,yes,no
47,management,married,tertiary,no,3681,no,no,no
49,entrepreneur,divorced,unknown,yes,701,yes,no,yes
29,management,married,tertiary,no,451,no,no,no
45,bluecollar,divorced,primary,no,311,yes,no,yes
38,entrepreneur,married,secondary,no,593,yes,yes,yes
32,bluecollar,married,secondary,no,759,yes,no,yes
